order,year_label,year_sort,mechanism,problem,measures,source_url,confidence
1,"1995–2001","1995","Browser wars / вендорные расширения","Netscape и IE конкурировали несовместимыми диалектами HTML/JS/DOM","Ничего системно не измерялось: совместимость достигалась UA-sniffing'ом","https://www.webstandards.org/about/history/index.html","средняя (даты отдельных расширений не подтверждены первично)"
2,"июнь 2004","2004.45","WHATWG основан","Реакция на курс W3C на XHTML и разрыв со вебом разработчиков","Living Standards (HTML, DOM, Fetch) вместо периодических snapshot-спек","https://whatwg.org/faq","высокая"
3,"дек. 2011","2011.95","Test262 (TC39)","Реализации JS расходились в наблюдаемом поведении спецификации","Соответствие движков ECMA-262: тест-файлы, обязательные для Stage 4","https://ecma-international.org/wp-content/uploads/ECMA_TR-104_1st_edition_december_2011.pdf","высокая (год); анонс проекта — июнь 2010, средняя"
4,"2012–2017","2014.5","Web Platform Tests консолидация","Каждый вендор и W3C WG тестировали раздельно","Единый репозиторий тестов на соответствие спецификациям, общий CI","https://www.w3.org/blog/2017/the-web-platform-tests-project/","спорная датировка (репозиторий 2012, консенсус-проект 2014, слияние CSS-тестов 2017)"
5,"2012–2013","2012.5","TC39 Stage-процесс 0–4","Монолитные релизы ES тормозили эволюцию языка","Зрелость предложений по стадиям; Stage 4 требует Test262 + 2 реализации","https://archives.ecma-international.org/2013/TC39/tc39-2013-062.pdf","высокая"
6,"2016-03-29","2016.24","MDN Browser Compat Data (BCD)","Данные о поддержке фич были рассыпаны по немашиночитаемым вики-таблицам","Структурированные данные поддержки, питающие MDN/Can I Use/Baseline","https://github.com/mdn/browser-compat-data","высокая"
7,"28 мая 2019","2019.41","W3C ↔ WHATWG Memorandum of Understanding","Два конкурирующих текста HTML/DOM — snapshot W3C и living standard WHATWG","Единая версия HTML и DOM вместо двух параллельных спек","https://www.w3.org/2019/04/WHATWG-W3C-MOU.html","высокая"
8,"22 марта 2021","2021.22","Compat 2021","Известные точки боли совместимости не имели общей публичной метрики","5 focus areas (Flexbox, Grid, sticky, aspect-ratio, transforms), общий score","https://web.dev/blog/compat2021","высокая"
9,"3 марта 2022","2022.17","Interop 2022 (первый год)","Нужны совместные обязательства всех вендоров по конкретным зонам","15 focus areas + 3 investigation efforts; метрика = pass rate WPT","https://web.dev/blog/interop-2022","высокая"
10,"май 2022","2022.35","WinterCG (W3C Community Group)","Серверные/edge JS-рантаймы расходились в реализации веб-API","Minimum Common API для серверных рантаймов (fetch, streams, crypto)","https://wintertc.org/faq","высокая"
11,"май 2023","2023.35","Baseline (WebDX CG)","Разработчику нужен был единый сигнал «фичей можно пользоваться», а не таблицы версий","Статус фичи: limited → newly available → widely available (+30 мес.)","https://developer.mozilla.org/en-US/blog/baseline-evolution-on-mdn/","высокая"
12,"2023–2026","2024.5","Interop 2023–2026 (ежегодно)","Продолжение и расширение зон совместимости","17–26 focus areas в год + 2–5 investigation efforts; общий score вырос с 25 до 95 (2025→2026)","https://github.com/web-platform-tests/interop/blob/main/2026/README.md","высокая"
13,"10 янв. 2025","2025.03","WinterCG → WinterTC (Ecma TC55)","Community Group не может публиковать формальные стандарты","Стандартизация runtime API (Node.js/Deno/Cloudflare Workers и др.)","https://www.w3.org/community/wintercg/2025/01/10/goodbye-wintercg-welcome-wintertc/","высокая"
14,"авг. 2026 (срез)","2026.63","WPT + Test262 — текущий масштаб","Совместимость перестала быть предметом веры и стала измеряемой величиной","169 449 тестовых записей WPT (в т.ч. 53 638 из Test262); >50 000 файлов Test262","https://github.com/web-platform-tests/wpt/releases","высокая"
