case_id,case_name,workaround_label,workaround_year,workaround_year_sort,native_label,native_year,native_year_sort,lag_years,honesty,dashed_native,footnote,workaround_source,native_source
F,"Container queries","ResizeObserver (кроссбраузерно)","июл. 2020","2020.57","CSS Container Queries (Baseline newly)","14 фев. 2023","2023.12",2.6,"высокая","нет","Самый короткий разрыв: ResizeObserver сам уже платформенный API, поэтому реальный lag от JS element-query библиотек (2013–2015) может быть больше","https://webstatus.dev/features/resize-observer","https://webstatus.dev/features/container-queries"
B1,"Flexbox","960 Grid System (репозиторий)","дек. 2009","2009.96","Flexbox (Baseline newly)","30 сен. 2015","2015.75",5.8,"высокая","нет","Дата workaround занижена: реальная волна grid-фреймворков — 2010–2012","https://api.github.com/repos/nathansmith/960-grid-system","https://webstatus.dev/features/flexbox"
I,"Компонентная модель","React (публичный анонс)","июн. 2013","2013.43","Custom Elements + Shadow DOM (Baseline newly, 3 движка)","окт. 2018","2018.80",5.4,"низкая","да","Честность низкая: React/Vue и Custom Elements решают разные по объёму задачи — не взаимозаменяемы","https://legacy.reactjs.org/blog/2013/06/05/why-react.html","https://webstatus.dev/features/autonomous-custom-elements"
J,"View Transitions","Barba.js / framer-motion","янв. 2019","2019.05","View Transitions API, same-document (Baseline newly)","14 окт. 2025","2025.79",6.7,"средняя","да","Только для переходов внутри SPA; для многостраничных сайтов (MPA) Firefox ещё не реализовал — этот сценарий остаётся в разрыве","https://registry.npmjs.org/@barba/core","https://webstatus.dev/features/view-transitions"
B2,"CSS Grid","960 Grid System / Bootstrap grid","дек. 2009","2009.96","CSS Grid Layout (Baseline newly)","17 окт. 2017","2017.80",7.8,"высокая","нет","Три движка (Chrome/Firefox/Safari) фактически сошлись в марте 2017 — Edge 16 (окт. 2017) сдвигает дату на 7 месяцев","https://api.github.com/repos/twbs/bootstrap","https://webstatus.dev/features/grid"
G,"Lazy loading изображений","lazysizes (npm)","ноя. 2014","2014.84","loading=\"lazy\" (Baseline newly)","19 дек. 2023","2023.97",9.1,"высокая","нет","От кроссбраузерного IntersectionObserver (март 2019) разрыв короче — 4,7 года","https://registry.npmjs.org/lazysizes","https://webstatus.dev/features/loading-lazy"
A,"JS-модули","CommonJS (ServerJS)","янв. 2009","2009.05","ES Modules, <script type=module> (Baseline newly)","9 мая 2018","2018.35",9.3,"средняя","нет","Не заменяет бандлеры полностью: нет tree-shaking, транспиляции, импорта ассетов; от webpack (2012) разрыв короче — 6,2 года","https://wiki.commonjs.org/wiki/Website:Index/history","https://webstatus.dev/features/js-modules"
D,"HTTP-запросы","jQuery $.ajax (jQuery 1.0)","авг. 2006","2006.65","Fetch API (Baseline newly)","27 мар. 2017","2017.24",10.6,"средняя","нет","XHR сам — платформенный API 2006 года; Fetch не покрывает upload-progress и синхронные запросы","https://blog.jquery.com/2006/08/26/jquery-10/","https://webstatus.dev/features/fetch"
E2,"Popover / тултипы","Bootstrap Popover/Dropdown","авг. 2011","2011.65","Popover API (Baseline newly, НЕ widely)","27 янв. 2025","2025.07",13.5,"средняя","да","Widely available ожидается лишь в июле 2027; позиционирование (anchor) требует отдельного CSS Anchor Positioning","https://registry.npmjs.org/bootstrap","https://webstatus.dev/features/popover"
E1,"Модальные окна","jQuery UI Dialog","сен. 2007","2007.71","<dialog> (Baseline newly)","14 мар. 2022","2022.20",14.5,"высокая","нет","Chrome реализовал ещё в 2014 — разрыв «первая реализация → кроссбраузерность» отдельно составил 7,5 лет","https://jqueryui.com/download/all/","https://webstatus.dev/features/dialog"
C,"CSS-изоляция","BEM (открытый код)","2010","2010.0","@scope (Baseline newly, НЕ widely)","12 дек. 2025","2025.95",15.9,"низкая","да","Честность низкая: @scope закрывает только selector scoping, а не всё, что делают BEM/CSS Modules/CSS-in-JS (build-time renaming, компонентные границы)","https://bem.info/en/methodology/history/","https://webstatus.dev/features/scope"
H,"Даты и время","Moment.js (npm)","окт. 2011","2011.82","Temporal (TC39 Stage 4, НЕ в браузерах кроссбраузерно)","откр.","2026.9",99,"высокая","да","Открытый разрыв ≥14,6 года и растёт: Safari до сих пор не отгрузил Temporal — платформа ещё не догнала","https://registry.npmjs.org/moment","https://webstatus.dev/features/temporal"
E3,"Кастомные select","react-select и др. (паттерн, без единой даты)","n.a.","n.a.","appearance: base-select (только Chromium, НЕ кроссбраузерно)","откр.","2026.9",99,"средняя","да","Открытый разрыв ≥15 лет и растёт: Firefox выключено по умолчанию, Safari только в бете 27","n.a.","https://webstatus.dev/features/customizable-select"
